position_idx,position,match_title
361,"Manufacturing, Process, Maintenance Engineer and Leader",Manufacturing Engineer
362,Industrial Engineer,Environmental Engineers - Industrial Hygiene Engineer
372,Elementary Teacher with certifications in Early Childhood and Special Education,Education Teacher
373,Graduate Student at Colorado State University,Graduate Student
376,Adult Geriatric Nurse Practitioner,Geriatric Nurse
377,"General Counsel at ExxonMobil Risk Management, Inc.",Counsel
383,Parks and Recreation Director at City of Canal Fulton,Director
385,Sr. Software Engineer at Northrop Grumman,Software Engineer
387,Senior Counsel at CenterPoint Energy,Counsel
388,Associate Professor of Management at University of Wisconsin-La Crosse,Management Professor
389,Teller at First Financial Bank,Bank Teller
391,"Freelance Location Scout and Manager, Trucking Logistics Assistant Manager for events. Local Union 2785.",Logistics Manager
392,"Senior Director at Norman Bobrow & Co., Inc.",Director
394,Safety Specialist,Product Safety Specialist
395,Certified HVAC technician,Certified Technician
396,"Manager, Site and Patient Services at Quintiles",Services Manager
398,Independent Avionics Engineer,Avionics Engineer
400,Research Assistant Lead,Research Assistant (RA)
406,STAT & GAAP A&A|Corporate Governance|NAIC Compliance|Model Audit Rule|Single Audits|Uniform Guidance|Nonprofits|EBP - 401(k) Audits|Qualified Peer Reviewer,Model
408,NDT Inspector at Self-employed / Gas Pipeline,Gas Inspector
410,"Exec Director, IT at Laureate Education",Director
411,Crane Operator at mortensons construction I,Crane Operator
412,Business Office Manager at Bella Vista Healthcare Center,Healthcare Manager
413,Technical Recruiter at HireWizer,Recruiter
414,Human Resources Director - North Dakota State University,Director
415,Intern at State Senator Vicent Hughes Office,Senator
417,"Staff Appraiser for U.S. Bank, NA",Bank Appraiser
420,SLP...Campus Supervisor,Supervisor
422,"Sr. Manager, Project Office at Great West Casualty Company",Project Manager (PM)
425,FQHC Director Of Finance at Terros Health,Finance Director
429,Sales and Marketing Executive at Your Special Delivery Service,Marketing Executive
430,News Radio,Broadcast Announcers and Radio Disc Jockeys - Morning News Anchor
431,"Information | Technology | Customer Experience Designer | Data Artisan | Power BI Evangelist | Using ITSM, Governance, and Data Artistry to Drive Adoption, Create Growth, and Strengthen Customer Partnerships that Last",Evangelist
436,"Major Account Executive at IKON Office Solutions, Inc.",Account Executive
437,Accountant,Accountant Supervisor
438,Senior Software Test Engineer,Software Engineer
444,"Carpenter Assistant,Server,Sales Pro,Warehouse Wiz",Server
445,Project Manager and Delivery Coordinator at Colling Media,Delivery Manager
446,Senior Branch Manager at Brightview Landscape Services,Landscape Manager
452,Graduate Student at Fairfield University,Graduate Student
453,Assistant Professor at Geisinger Medical Center,C++ Professor
455,Art Director | Senior Graphic Designer | Multimedia,Art Director
459,Human Resources Consultant at HR Consultant,HR Consultant (Human Resources Consultant)
463,"Administrator at I Am Boundless, Inc.",Administrator
468,Chief Engineer at HGI,Chief
469,Director of Brand Management | optiAMZ,Director
470,President at Ben Jones Machinery,President
471,Private Chef at Caron Renaissance Ocean Drive,Private Chef
472,Executive Assistant at Taro Pharmaceuticals,Executive Assistant
475,"Lease Accounting, Director at Washington Prime Group Inc.",Director
476,15 Years experienced Data Engineering and Business Intelligence Leader,Intelligence
477,CPA,Certified Public Accountant (CPA)
479,Consultant at EnVista | Labor Management Team | Technology Solutions Group,Technology Consultant
481,Principal Enterprise Architect with a strong security focus at The Walt Disney Company,Security Architect
483,Senior Director @ UltraViolet Cyber | Security Operations,Director
487,Paraprofessional at Visitation Catholic School,School Paraprofessional
490,Technical Writer,Technical Writers - Grant Writer
492,IT Manager,Information Technology Account Manager (IT Account Manager)
494,Health System Specialist at NY State Department of Health,Health Specialist
496,"Leading expert in all areas of compensation. Looking for a full-time or contract total rewards, or VP of Compensation role . Open to remote, on-site or hybrid in a leading company.",Compensation Expert
498,Associate General Counsel for UnitedHealthcare,Counsel
502,Director of Choral Activities at Lewis & Clark College,Director
504,Pretrial Screening Supervisor at Montgomery County Court of Common Pleas,Supervisor
505,Graduate Student,Graduate Student
507,Data Privacy Technologist at Kohler Co.,Technologist
508,IT helpdesk support technician,Helpdesk Technician
509,Pediatric Occupational Therapist,Pediatric Occupational Therapist (Pediatric OT)
510,"Chief Operations Officer / Chief Financial Officer at Cliffwater, LLC",Chief
516,Executive Director at The Northwest Catholic Counseling Center,Executive Director
517,Staffing Coordinator,Staffing Coordinator
519,"Director, Budget & Rates at BAE Systems",Director
521,Electrical Service Engineer @ Boeing | Engineer-in-Training (E.I.T) | Certified Ethical Hacker (CEH) | Cybersecurity Analyst (CySA+),Certified Ethical Hacker
522,Paralegal at McAngus Goudelock & Courie,Paralegal
523,"Sr. Director, Small Business Products at Visa",Director
524,Freelance Web Developer,C Developer
525,Senior Network Architect / Engineer,Network Architect
528,Senior Vice President at Reveleer,President
529,Construction Professional,AP BD+C (Accredited Professional in Building Design and Construction)
536,Firefighter/Marine Officer,Firefighter
537,Personnel Director - County of Tehama,Personnel Director
540,Program Director Elevance Health,Health Director
541,"Sr. Manager, Performance Media at Merkle",Media Manager
542,Journeyman Electrician,Electrician
544,Marketing Analyst at Avreo Inc.,Marketing Analyst
546,Marriage and Family Therapist at Rimmon Pond Counseling,Family Therapist
547,Marine Biologist at FAU * Sea Turtle Research *Post Bac DIR Credit Work. Owner of Martenson Performance. Founder of Wendy's Rescue a Not-for-Profit Senior Dog Sanctuary,Research Biologist
551,Customer Service/Recording artist,Recording Artist
553,"Video Journalist, Producer at The Associated Press",Video Producer
554,Independent Consultant,Independent Crop Consultant
555,Cost Controller at TechnipFMC,Cost Controller
560,Biomedical Equipment Technician Imaging Specialist,Imaging Specialist
562,Executive Director - Smart Technology & Advanced Analytics,Executive Director
572,Manager of Development Operations and Research at CAC,Research and Development Manager (R&D Manager)
577,Operational and Supply Chain Leader | Army Ranger | Combat Veteran,Army Ranger
579,"President at Mercury Elite, Inc.",President
580,"Combat Systems Port Engineer at T-Solutions, Inc",Combat Engineer
581,"Agnitti Insurance; Commissioner, BELD; Chairman of Quincy Business Council, SSCC; Trustee, AWHS; Fellow, Norwich",Insurance Commissioner
582,"Assistant Project Manager at Consigli Construction Co., Inc.",Construction Manager
584,wire processor/title specialist at Mountain America Credit Union,Title Processor
586,Revenue Qualifying Specialist at CVS Pharmacy,Revenue Specialist
587,Seeking full-time positions for Software Developer and Data Science roles | Grad Student at Stony Brook University,Software Developer
588,Principal MRI Technologist UCSF Health,Technologist
590,Freelance Video Editor,Video Editor
591,Human Resource Manager at McAlpin Industries,Resource Manager
596,"Associate Director, Asset Management at Longfellow Real Estate Partners",Director
597,Business Analyst,Management Analysts - Business Analyst
600,Maintenance Technician at Heavy Seas Beer,Die Maintenance Technician
603,Buyer Broker Representative & Licensed Realtor at Dealer Support Network,Buyer Broker
606,Clinical Dietitian,Clinical Dietitian
609,"Highly motivated, experienced manager seeking full-time employment with opportunities to grow.",Employment Manager
610,ProRodeo Clown & Barrelman,Clown
616,"Founder/Director - Movement Source Dance Company; Dance Department Chair and Teacher - Xavier College Preparatory, Phoenix AZ",Dance Teacher
618,Real Estate Agent /Mental Health Counselor/ Case Management,Mental Health Counselor
619,college instructor of music at Durham Technical Community College and Piano Performer of Classical Music,Piano Instructor
620,Customer Experience Manager,Customer Experience Manager
625,HR Manager,Human Resources Manager (HR Manager)
626,Vice President Operations at R&A Contracting,President
631,Management and Program Analyst at Centers for Disease Control and Prevention,Management and Program Analyst
632,"Trusted Business Advisor Specializing in Saving Tax for Business Owners and High Net Worth Individuals. Construction, Real Estate, Manufacturing, Professional Service, Retail, and Financial Institutions.",Business Professional
634,President/Geologist at Sailor Creek Energy,President
636,Dental assistant,Dental Assistant Teacher
637,Investment Analyst at Rothesay Asset Management,Investment Analyst
639,"A wealth manager engenders trust by putting clients first; providing sound, goal-oriented financial solutions.",Financial Manager
640,Plumber,Plumber Supervisor
641,Registered Nurse at University Medical Center,Medical RN (Medical Registered Nurse)
642,IWLCA Manager of Communications and Marketing,Marketing and Communications Manager
646,President of JPS & Co. LLC,President
648,Graduate student at the University at Buffalo • Canisius University Alumnus,Graduate Student
649,Engineering Manager at SAFRAN Engineering Services,Services Manager
650,"IP Paralegal at Greenberg Traurig,LLP",Paralegal
653,"Live Producer, Photographer, and Multimedia Designer with front end webDev skills",Photographer
654,Senior Printed Circuit Board Designer,Printed Circuit Designer
656,SRE Administrator at Jacuzzi Group,Administrator
657,Construction Laborer at Oberstar Inc,Construction Laborer
658,Elementary School Teacher at O'Donnell ISD,Elementary School Teacher
664,"Operations and Safety Professional | 14+ years of experience effectively managing the people, processes, and projects that support quality-driven operations",Safety Professional
667,Customer Assistant Specialist,Customer Specialist
669,Special Education Teacher at Maple Valley Schools,Education Teacher
672,Postdoctoral Fellow,Postdoctoral Fellow
673,"Facilities Maintenance Manager at Woodport Doors LLC- Shawano, WI",Facilities Maintenance Manager
674,Independent Consultant at Miriam Azan,Independent Crop Consultant
675,Head Golf Professional at Fountain Head Country Club,Golf Professional
678,"Global Manager, Application Development (HI&I)",Application Manager
681,International Outreach Coordinator at United Planet,Outreach Coordinator
682,Postdoctoral Fellow at Johns Hopkins,Postdoctoral Fellow
685,Operations Manager at Thermo Fisher Scientific,Gas Operations Manager
686,Chief Procurement Officer at General Mills,Chief
687,"Manager, Talent and Operations at Bain & Company",Gas Operations Manager
688,Executive Assistant at Wells Fargo,Executive Assistant
690,"Coordinator, Marketing and Communications",Marketing Communications Coordinator
692,"Personal injury attorney - Sticklen & Sticklen, P.C.",Attorney
693,National Account Executive at Schneider Electric,Account Executive
694,Federal Environmental Business Development Manager,Environmental Manager
695,Sales Rep,Digital Advertising Sales Representative (Digital Advertising Sales Rep)
696,Senior Instructional Designer at The University of Alabama,Instructional Designer
697,"Director, Survivor Advocacy Program at Ohio University",Director
701,Director of Administrative Services & EA at CDA,Administrative Director
702,Administrative Services Manager at Department of Veterans Affairs,Administrative Manager
703,Project Engineer,Aeronautical Project Engineer
706,"CoCEO, Lime Technology, Creators of Unraid OS. CoFounder, The Kenza Collective. Consultant, Operations Strategy.",Technology Consultant
708,"Director - Clinical Informatics at Chester County Hospital, Penn Medicine",Clinical Director
714,Disclosure Desk Manager (Wholesale/Retail) at Benchmark Mortgage (NMLS #2143),Retail Manager
720,CMA,Certified Medical Aide (CMA)
725,Electronics Maintenance Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment - Radioactivity Instrument Maintenance Technician"
727,Program Manager,General and Operations Managers - Program Manager
729,"Production Electrician For Broadway, Live Events, and Television",Electrician
730,Director of Athletics at St. Cyril of Alexandria Catholic School,School Director
732,Co-Owner of Dulce Media Agency L.L.C. | U.S Army Veteran,Agency Owner
734,Registered Behavior Technician at Fusion Autism Center,Autism Behavior Technician
739,Legal Assistant at The Hilpert Law Offices,Legal Assistant
740,"Full time fiction writer, recovering criminal defense attorney",Attorney
741,Assistant Director at Syracuse University,Director
744,"Publicist & Development Manager, Press Shop PR || Creative Director, Murmuration Theatre Co",Theatre Manager
745,Receiving clerk at Calvert Wire & Cable,Receiving Clerk
746,Customer Success Operations Specialist,Customer Specialist
748,Regulatory Oversight Specialist at Vanguard,Regulatory Specialist
749,Student-Athlete at Conernerstone University,Athlete
750,Division Sales Manager at Shine Solar,Division Manager
752,District Administrator at Orangevale Recreation & Park District,Administrator
753,Certified Meeting Professional & Digital Events Strategist | Energy Nerd | People Connector | Sesame Street Alum | Proud Boricua | Sommelier 🍷,Certified Meeting Professional
762,Vice President Human Resources at Assertio,President
763,"Manager, IT Infrastructure Operations",Gas Operations Manager
764,Project Manager at Evans General Contractors,General Manager (GM)
765,"General Counsel at Silvus Technologies, Inc.",Counsel
768,Information Systems Analyst with Cybersecurity background. Speaks German and English,Information Systems Analyst (ISA)
770,Director of Development at May Institute,Director
771,Certified Physician Assistant,Certified Physician Assistant (PA-C)
772,Product Manager at Helm Experience & Design,Product Manager
773,Product Manager,Digital Product Manager
776,"Board Member Gordon Institute FIU, Contemporary History Professor",History Professor
779,"Co-Founder, Creative Director at Mother Kombucha / Agua Bucha",Director
781,Property Manager at Campus Property Management,Property Manager
789,Software Engineer at The Home Depot via Modis,Software Engineer
793,Software Developer | Seeking Job Opportunities,Software Developer
794,Vice President Operations at indiGO Auto Group,President
795,Supervisor,Liquor Stores and Agencies Supervisor
796,Patient Care Assistant at Traverse Health Clinic,Clinic Assistant
797,Psychotherapist,Clinical and Counseling Psychologists - Psychotherapist
798,"Attorney at Santerre & Vande Krol, tbk@svklaw.com",Attorney
801,Escrow Assistant at First American Title,First Assistant
803,Pharmacist,Health Informatics Specialists - Informatics Pharmacist
804,Executive Assistant,Executive Secretaries and Executive Administrative Assistants - Administrative Assistant
807,Technical Project Manager,Technical Manager
808,Project Manager at Ecolab,Project Manager (PM)
809,Customer Service Representative at Kohl's Department Stores,Customer Service Representative
810,Administrative Assistant at American Roller Bearing Company,Tax Administrative Assistant
811,Retired Music Instructor & Choreographer,Choreographer
812,Project Manager at Cubix,Project Manager (PM)
814,Office Administration/medical coder and biller,Coder
815,911 Dispatcher,911 Dispatcher
816,teacher / author / curriculum developer,C Developer
817,SDE Intern @ Amazon | CS/Math @ University of Arizona | Undergraduate Research Assistant,Research Assistant (RA)
818,United States Immigration Judge,Immigration Judge
824,Elementary School Teacher at Osceola County School District,Elementary School Teacher
826,Certified Registered Nurse Practitioner at Adfinitas Health,Registered Health Nurse
827,Senior Ecommerce Manager & Adjunct Professor,C++ Professor
830,"Foreman at North County Plumbing and Drain Cleaning, Inc.",Foreman
832,Maja Georgiou Photographer,Photographer
833,Web Developer at Cranes101,C Developer
834,Sr. Safety Scientist at Southwest Research Institute,Institute Scientist
839,R&D Analytical Manager,Analytical Research Program Manager
843,Financial Professional |🙆 Nationwide Expansion | 👨‍⚖️Leadership Development and Business Owner | Financial Coach 💻,Business Professional
845,Senior Director of Sales - California at Rémy Cointreau,Sales Director
848,Multimedia Artist / Musician,Multimedia Artist
850,"16 years of related experience and advanced SQL skills. SQL Developer / Data Analyst specializing in SQL Server, Oracle and Microsoft Visual Studio (SSIS/SSRS).",Server Developer
851,Software Development Engineer in Test,Software Development Engineer
852,"Integrated Market Researcher, Data Analyst, BU Graduate Student",Market Analyst
853,Business Intelligence | Data Analytics | Team Leadership,Intelligence
856,Registered Nurse/Nurse Specialist II/Team Lead for Care Management for High-Risk Pregnancies (CMHRP),Risk Management Specialist
857,"Harley-Davidson #FindYourFreedom Intern, Marketing & Social Media Influencer",Influencer
861,"Underwriter Trainee, Excess Casualty at Allied World",Casualty Underwriter
862,Distribution Operations Field Manager,Distribution Manager
863,Occupational Therapist at Capital Region Medical Center,Occupational Therapist (OT)
864,Employment Representative at South Carolina Department of Employment and Workforce,Employment Representative
865,"Journalism, Film Studies and American Studies Major at Miami University | Managing Editor for The Miami Student | Resident Assistant",Film Editor
873,"retired--fire chief ,building insp. flood plane mgr. city of belzoni ms",Chief
874,"Aviation Marketing and Communications Supervisor, Port of Oakland",Supervisor of Communications
875,Retired Chief of Police at Whiteville Police Department,Chief
876,Experienced Business Professional,Business Professional
878,Director of Theatre,Director
879,Notary,Notary Public
883,Business,Chief Executives - Business Development Executive
884,Ambulatory Clinical Pharmacy Specialist - Cardiology at Boston Medical Center (BMC),Cardiology Clinical Nurse Specialist
885,New store Merchandiser at Five Below,Store Merchandiser
886,Autonomous Software Engineer at Avnet Silica,Software Engineer
888,Registered Nurse at Encompass Health,Registered Health Nurse
892,"Director, Finance - Services",Finance Director
894,"Coach, Team of Experts @ T-Mobile",Coach
895,Analytical Data Reviewer at Akebia,Data Reviewer
898,"Executive Vice President at RBS|Citizens, N.A.",President
902,Conference Services Manager at GuideWell,Conference Manager
903,Creative Brand Director at Bote Board,Brand Creative Director
905,Territory Manager - Gulf Coast | Acute Care Sales | Capital Equipment Sales | Gov't Acute Care Sales | Diagnostic Cardiology | Patient Monitoring | Infection Prevention | NPWT | Inhalation Water | Medical Scales & Carts,Sales Manager
907,Director of Research at ContraFect Corp,Director
