position_idx,position,match_title
117,High School Math Teacher and Varsity Girls Tennis coach at Walt Whitman High School,Math Teacher
118,Illustrator & Animator | Looking for Work,Animator
120,Administrator at Wellington Woods Memory Care,Administrator
121,Lead Product Support Specialist,Computer User Support Specialists - Product Support Specialist
124,Associate Athletic Director - Advancement at University of Wisconsin-Milwaukee,Athletic Director
125,"Senior Managing Director, Multi-Asset Solutions Business Management at Manulife Investment Management",Director
129,Supervisory Attorney Advisor at Social Security Administration,Advisor
133,Community Outreach Mgr. at Bishop Walker School for Boys,Bishop
134,Software Engineer at Boeing,Software Engineer
135,Scientist I,Management Scientist
137,Senior Director of Engineering at Qualcomm,Engineering Director
138,Junior Software Developer,Software Developer
139,"Bank of America | Vice President, Business Strategy & Initiatives",Bank President
140,Software Engineer - Consultant at Booz Allen Hamilton,Software Consultant
141,Full Life Futures Program Transition Coach,Life Coach
143,Sales Manager at 105.9 The Bull,Sales Manager
146,Patent Examiner (Biomedical Engineering) at USPTO,Examiner
147,Courtesy Clerk at Publix Super Markets,Courtesy Clerk
150,cost accountant at Port Erie Plastics,Accountant
151,Dedicated Team Player,Player
152,"Registered Nurse Endoscopy, Correctional Nursing",Endoscopy Registered Nurse (Endoscopy RN)
153,Physical Therapist Assistant at Central Valley Physical Therapy,Physical Therapist Assistant (PTA)
157,Central Regional Sales Manager at SNF Polydyne,Regional Manager
165,"Senior Accounts Payable Specialist Supernus Pharmaceuticals Rockville, MD. 20850",Accounts Payable Specialist
167,Insurance Agent | Business Management,Insurance Agent
168,IT,Information Technology Account Manager (IT Account Manager)
173,Account Manager at MedBridge | Available for Sales Ops Consultation,Sales Account Manager
175,Order Management,Stockers and Order Fillers - Inventory Management Specialist
176,"Social Work Trainee, CDCA, Clinical Chaplain, and Retired Soldier",Chaplain
177,Construction Manager at Staker Parson Companies,Construction Manager
178,Business Development Manager at Maxim Healthcare Services,Healthcare Manager
179,Registered Nurse,Registered Nurse Clinical Information Systems Coordinator (RN Clinical Information Systems Coordinator)
180,Aspiring Concept Artist | MFA Student at DigiPen Institute of Technology | Traditional Fine Arts Background,Fine Artist
182,Chaplain at Hospice Care of SC,Chaplain
185,Manager of Customer Success at Softbank Robotics America,Customer Manager
186,IT Consultant,Computer Systems Analysts - Information Technology Consultant (IT Consultant)
187,Senior Accounting Associate at NorthlandCPAs,Accounting Associate
188,"Deputy Clerk - Guilford County Courthouse, High Point NC",Deputy
189,Senior Scientist,Sensory Scientist
190,"Warranty Specialist at Canon Medical Systems USA, Inc.",Systems Specialist
193,Professor at SUNY College Of Optometry,Optometry Professor
194,Digital Marketing Leadership | Change Maker | Dot Connector,Maker
195,Enterprise Account Executive at SPS Commerce,Account Executive
196,Creative Director | Videographer,Director
198,Realtor at Texas Superior Realty,Superior
199,Associate Professor of Biology at Lenoir-Rhyne University,Biology Professor
202,Transactional Lawyer,Lawyer
203,Senior Account Executive of Sales and Finance.,Account Executive
204,Construction Superintendent,Line Construction Superintendent
205,Administrative Assistant at Sharp HealthCare,Tax Administrative Assistant
207,Marketing & Social Media Specialist | Content Creator @nyc.food,Content Creator
210,PWM Registered Associate at Morgan Stanley,Registered Associate
211,"Experienced AR, Investigator, Mediator, Contract Monitor, Audio/Video Producer, Radio Broadcaster, Child Support Spec",Radio Producer
212,Text Analyst | Social Media Analyst | Research Manager | Certified Project Manager,Media Manager
213,Loan Servicing Research Specialist at Regions Bank,Loan Servicing Specialist
214,Teacher,Teacher Advisor
215,Account Executive WEEK-TV,Account Executive
217,Early Childhood Ministry Pastor at Central Church of the Nazarene,Church Pastor
218,Civil Engineer,Civil Engineers - Airport Engineer
221,Director of Program Ambassador Support at Innovations for Learning,Learning Director
222,Staff Software Engineer @ Amplitude,Software Engineer
223,Director of Corporate and Foundation Relations & Campaign Operations,Foundation Director
225,"Branch Manager/Sales Representative at Parks Coffee/ProStar Services, Inc.",Sales Manager
227,Software Development Engineer @ Amazon | Full-stack development,Full Stack Software Engineer
228,Ms in CS Cal Poly Pomona Data Analytics || Machine Learning || Business Intelligence,Intelligence
229,I am looking for a job as an Administrative Assistant.,Tax Administrative Assistant
230,Directional Driller,"Rotary Drill Operators, Oil and Gas - Directional Driller"
231,Retail sales supervisor at St Louis Zoo,Supervisor
233,"Executive Director, Medicare Segment at L.A. Care Health Plan",Executive Director
235,Industrial Production Engineer en Keppel AmFels,Industrial Engineer
239,Production Assistant | Broadcast | Film | Television (TV) | Deliver Effective & Efficient Production Support,Production Assistant
241,"Managing Broker/Realtor at Century 21 Lund, Realtors",Managing Broker
243,Senior Software Engineer at Microsoft,Software Engineer
244,"Senior Manager, Digital Marketing at Tanium",Digital Marketing Manager
245,Family Nurse Practitioner at The Montana Center,Family Practitioner
247,Civil Engineer - Hydrology & Hydraulics,Civil Engineer
249,Mainframe Cobol developer at Auto-Owners Insurance.,C Developer
252,Commercial Sculptor,Sculptor
253,Social Media Manager • Digital Advertising,Digital Media Manager
257,"Highly knowledgeable and skilled analyst in public policy, data management, and strategic planning.",Planning Analyst
261,Ukrainian at Minerva University | Aspiring neuroscientist,Neuroscientist
263,IS Project Manager II at MedStar Health,Health Manager
264,Bilingual Business Professional | Musician | She/Her,Business Professional
265,Lead Software Engineer at Lumen,Software Engineer
266,Sales Leader,Party Plan Sales Unit Sales Leader
267,Senior Manufacturing Engineer at Sikorsky,Manufacturing Engineer
268,Associate Director for Teaching and Learning at University of Georgia - Center for Teaching and Learning,Learning Director
269,IL Skills Trainer / Coordinator at East Texas Center for Independent Living,Skills Trainer
270,Data Analyst,Supply Chain Data Analyst
272,Medical Recruiter,Recruiter
273,Processing Specialist at Assurant,Processing Specialist
275,"Massage Therapist, Electrologist, Reiki Master",Massage Therapist
278,Customer Service Supervisor at Progressive Home Insurance,Supervisor
279,Inside Sales & Account Manager at Dakota Supply Group,Inside Sales Manager
284,Director of Admissions & Financial Aid at Aquinas Institute of Theology,Financial Director
286,Sr Consultant at Performance Technology Group,Performance Consultant
287,"Manager, Technology Resilience at Red Hat",Technology Manager
288,Construction Professional,AP BD+C (Accredited Professional in Building Design and Construction)
289,Sr. Brand Manager at OeP | Team Leader | Acosta subsidiary,Team Leader
290,Sr Infrastructure / Devops Engineer at QuinStreet,DevOps Engineer
296,Archaeological technician,Archaeological Technician (Archeological Tech)
297,Executive Director at You Matter Global Movement,Executive Director
298,Physician Assistant,Cardiology Physician Assistant
299,Experienced Accountant,Accountant
302,Strain Curator,Curator
303,Licensed Mental Health Counselor at UAH Counseling Center,Licensed Counselor
306,Administrative Specialist at KS Dept. for Children and Families,Administrative Specialist
307,Environmental Scientist at Stantec,Environmental Scientist
312,Director of Sports Information at the University of South Carolina Beaufort,Information Director
314,Extension Course Director at Church of Scientology Portland,Director
315,Customer Focused | Results Driven | Animal Advocate,Customer Advocate
317,"Full Stack Software Engineer | React.js | SQL, SSMS | C# | .NET Core",Full Stack Software Engineer
319,Security Site Supervisor for DSI Security @ Mar-Jac Poultry,Supervisor
320,Product Trainer,Product Trainer
321,"Practice Manager at Heritage Behavioral Health Consultants, Inc.",Health Manager
325,Global Justice Studies Major at James Madison University,Justice
331,Vice President of Sales and Marketing at Ridgway Industries,President
332,Graphic Designer at MedBridge,Graphic Designer
334,"Wrap Facilitator at Office of the Governor, State of South Carolina",Facilitator
335,Vice President of Election Product and Technology Strategy,President
339,Attorney,Attorney
340,Project Manager/Estimator Blake Electric,Project Estimator
342,Distiller at Big Spring Spirits,Distiller
343,Physical Therapist,Acute Care PT (Acute Care Physical Therapist)
344,"Vice President of Software Development at Professional Document Services, Inc.",President
345,Communication Professional,Communication Professor
349,Health Educator,Health Education Specialists - Community Educator
350,Data Engineer | Azure Data Factory | Azure Databricks | SSIS | T-SQL | Azure SQL | Spark SQL | Azure Synapse,Factory Engineer
353,Operations Advisor @ Tesla,Advisor
356,Digital Campaign Manager at Townsquare Media,Digital Media Manager
358,Licensed Clinical Social Worker,Healthcare Social Workers - Licensed Clinical Social Worker (LCSW)
362,Direct Care Worker at Focus Inc,Care Worker
363,Practice Manager at Norris Cotton Cancer Center,Practice Manager
364,Director of IT at 2nd Swing Golf,Director
365,Human Resources Generalist at Great Lakes Bay Health Centers.,HR Generalist (Human Resources Generalist)
366,Corporate Attorney,Attorney
367,Assistant Transportation Manager at United Metro Energy Corp.,Transportation Manager
371,-- Early Intervention Specialist M.Ed,Intervention Specialist
376,"Regional Vice President, Operations",President
380,General Manager in Training at Flow Automotive Companies,Training Manager
383,Health & Wellness Coach at Lose Weight Feel Great with Jen,Health Coach
385,Technologist and Cyber Security Enthusiast,Technologist
387,Accounting/Finance Associate at ESCAPE Bio,Accounting Associate
390,Director of Technical Services & Program Management | Adaptable Service Delivery Leader Driving Digital Transformation to the Cloud for Stability and Ease | Portfolio Management | Information Technology Services,Information Director
391,"CEO @ ACatechol, Inc. Innovator, Serial Founder, UCSB / UCF ex Professor, UCLA IAB",C++ Professor
393,Real Estate Assistant,Real Estate Administrative Assistant
394,"Environmental Project Manager at MarCom, LLC.",Environmental Manager
395,Patient Care Technician at Fresenius Medical Dialysis,Dialysis Patient Care Technician
396,In House Corporate Counsel / Data Privacy & Cybersecurity Consultant / Tech Contracts / AI and Privacy Integration / Dark Web and Threat Intelligence / Certified Privacy Professional CIPP/US CIPP/E,Data Consultant
397,Account manager,Advertising and Promotions Managers - Account Manager
398,"RN,Nurse Navigator at Bon Secours Health System",Health Navigator
405,Executive Assistant at Four by Four Construction,Executive Assistant
406,Customs and Border Protection Officer (CBPO) at U.S. Customs and Border Protection,Customs Officer
407,Server at Brother Tom's Bakery,Brother
408,Community Service Coordinator at SOUTHEASTERN PROPERTY MANAGEMENT LLC,Property Coordinator
411,Portfolio Monitoring Specialist at U.S. International Development Finance Corporation,Development Specialist
412,Graduate student at University of Central Florida,Graduate Student
413,"Sr. Associate, Brand Technology Marketing at Capital One",Marketing Associate
419,Warranty Auditor,Auditor
420,Buyer,"Property, Real Estate, and Community Association Managers - Lease Buyer"
421,IT Help Desk Analyst at Spencer Technologies,Help Desk Analyst
422,Workplace Experience Manager | Event Planner | Culture Builder | Euchre Enthusiast,Event Manager
424,Interim CEO/ Hospital Administrator at United Medical Rehabilitation Hospital,Administrator
425,Transplant Donor Coordinator,Transplant Coordinator
426,Deputy Director - Mayor’s Office of Housing Stability,Director
427,Software Developer w Oracle,Software Developer
428,LVN,Licensed Vocational Nurse (LVN)
430,Assistant Professor - Brigham Young University - College of Nursing,Nursing Assistant Professor
431,Workers Compensation Claims Director at Nationwide Insurance,Compensation Director
432,Hair and Makeup Artist at Owner,Hair and Makeup Artist
435,Operations Team Leader at Ruan Transportation Management Systems,Team Leader
436,"Wedding Coordinator and Administrative Assistant, Saint Mary's College of California",Wedding Coordinator
437,"Director Emeritus at Baldwin Financial Advisors, LLC",Financial Director
438,Operations Manager at Your Event Specialists,Event Manager
439,Grant Accountant at Colorado Department of Public Health and Environment,Accountant
442,Office Manager in the Fine Arts at Midland University,Arts Manager
445,Clinical Coordinator,Clinical Coordinator
446,"Sr. Business Operations & Strategy Manager, Growth",Gas Operations Manager
447,Industrial Hygiene Compliance Supervisor at Washington State Department of Labor and Industries,Supervisor
448,Sheet Metal Worker at Noyes Sheet Metal Inc.,Sheet Metal Worker
450,"Landfill Supervisor at County of Orange, VA",Supervisor
452,QC Lab Supervisor and Process Metallurgist at Charter Steel,Process Metallurgist
454,eXp Real Estate Agent,Real Estate Agent
457,"Digital Transcriptionist (Speciality: Legal)/ Online Audio, Video & Captioning (non-live)",Transcriptionist
458,Inside Sales Rep,Inside Sales and Customer Service Representative (Inside Sales and Customer Service Rep)
459,Advanced Hearing Consultant Maximus,Hearing Aid Consultant
460,Creative Film Poster /Key Art/Designer/Visual Artist,Visual Designer
461,"CEO, Pilinyi Institute for Social Policy and Head brewer at Deadmouse brewery",Brewer
466,Deputy Sheriff,Deputy Chief Sheriff
467,Childcare provider at Coward Family,Childcare Provider
470,Administrator at Medway Country Manor,Administrator
471,Rail Operations Training Manager at Charlotte Area Transit System,Area Manager
472,Complex Unrepresented Bodily Injury Adjuster at Progressive Insurance,Insurance Adjuster
473,Independent Health Insurance Agent-Broker with all Major Health Insurance Companies,Health Insurance Agent
474,IT Project Manager Consultant,Project Manager (PM)
476,Manufacturing & Test Engineer @ Lockheed Space. Former SpaceX & NASA,Space Engineer
477,Talent Manager | Technical Recruiting | DE&I Advocate & ERG Leader,Recruiting Manager
480,Accounting Systems Data Analyst at BentallGreenOak,Accounting Systems Analyst
482,Regional Medical Director - Ophthalmology at Horizon,Regional Director
485,children's book author and reading specialist,Book Author
486,"Onboarding Coordinator Full time in-house contractor, Back-up Media Specialist, Team Lead, ATOS (formerly Xerox, ACS-HCS, Superior Consultant",Superior
487,Senior Advisor at Opportunity Junction,Advisor
490,President Georgia Pacific EMEA Consumer - Retired,President
492,"Sales and Project Manager at Gulf Coast Industrial Contractors, LLC",Sales Manager
493,Media Maven + Storytelling Specialist | Go from unknown to unforgettable by harnessing the power of the media.,To Go Specialist
494,Credentialing Delegation Oversight Specialist at Health Care Service Corporation,Credentialing Specialist
495,Mechanical Engineer II at Provisur Technologies Inc,Mechanical Engineer
497,Corporate Recruiter at Mount Franklin Foods,Corporate Recruiter
498,"Executive Director, MindWise Innovations",Executive Director
499,Software Engineer at Meta,Software Engineer
500,Pacific Gas & Electric - Construction Supervisor,Supervisor
503,Sr Human Resources Generalist at The Scotts Miracle-Gro Company,HR Generalist (Human Resources Generalist)
504,President at Redlands Community College,President
506,Vice President at OnLINE FM LLC,President
507,Regional Operations Manager at States Self Storage Management Co LLC,Regional Manager
508,Sales Operations Manager at Cigna,Sales Manager
510,Professional Tutor,Professional Tutor
513,"Accountant at Regional Transit Service, Inc",Accountant
515,staff therapist at Mayo Clinic,Staff Therapist
516,Vice President at US Bank,Bank President
517,Process Operator at Rubicon,Process Operator (Process Op)
518,"VP, Financial Analyst at U.S. Bank",Bank Analyst
519,Bachelor of Science (BS) at Lake Superior State University,Superior
520,"President, Urban Equities Real Estate Consultants Inc.",President
521,School Counselor-CiTi (formerly Oswego county BOCES),School Counselor
522,Front Desk Agent at The Blackstone Renaissance Hotel & Mercat a la Planxa,Hotel Front Desk Agent
523,"Environmental Scientist, Activist, and Farmer",Environmental Scientist
524,Physical Therapist at Adams Sports Medicine & Physical Therapy,Sports Therapist
525,HP Commercial Sales | Customer Advocate | Consultative Solution and Problem Solver | Sustainability Champion |,Sustainability Champion
527,Senior Knowledge Manager & Librarian at Abt Associates,Librarian
528,Manager of Quality Systems at Alliance Biotech Solutions,Quality Systems Manager
533,Chief Operating Officer/Chief Financial Officer at Butler Specialty Company,Chief
534,Instructional Designer / Video Producer,Instructional Designer
535,Community Associate| Community Manager| Social Media Manager,Media Manager
536,"REALTOR, REO & Short Sale Specialist on MAUI, HAWAII at Maui Lifestyle Realty",Realty Specialist
538,Community Health Specialist II: Licensed Environmental Health Practitioner for Kane County Health Department,Health Specialist
539,Retired Public School Administrator at Owen J. Roberts School District,Administrator
542,Software Engineer,Software Developers - Application Support Engineer
543,Associate's degree at Springfield Technical Community College,Technical Associate
544,Director of Marketing and Operations at The Good People Group by Eyal Shani,Marketing Operations Director
545,Chief Operating Officer at Gateway ACO Partners,Chief
546,Photojournalist at WJXT-TV Channel 4 News,Photojournalist
547,Field Service Representative II en Halliburton,Field Service Representative (Field Service Rep)
548,Software Engineer at Madwire,Software Engineer
551,Flight Attendant at Southwest Airlines,Flight Attendant
552,Architect / Interior design / product design,Design Architect
555,Aspiring Digital Marketing Intern • Candid Photographer • Plants Enthusiast,Digital Photographer
556,Special Education,"Education and Childcare Administrators, Preschool and Daycare - Special Education Director"
557,Legal Nurse Consultant,Legal Consultant
558,Sr. Instructional Designer at TEAM Software,Software Designer
559,Customer Service geared professional. Audio/Visual Technician who loves to serve his clients.,Audio Technician
562,Media Relations Specialist at Cornell University,Relations Specialist
563,Principal IT Business System Analyst at Lantheus Medical Imaging,System Analyst
564,"Development Officer, Corporate and Foundation Relations at Tulane University",Development Officer
566,Traffic Manager at WITI FOX 6,Traffic Manager
568,"Retired Legal Counsel at Senate of PA, now in NH",Counsel
569,Marine-Medical Assistant-Pre-Visit medical Assistant,Marine
570,Health Access Data Analyst,Health Data Analyst
571,Senior Project Manager,Project Manager (PM)
572,Package handler trainer,Package Handler
573,Co-Associate Director of Clinical Core at the VISN 6 MIRECC at DURHAM VAMC Clinical Psychologist,Clinical Director
574,Associate Developer at Expeditors,C Developer
575,ACCOUNTANT: Fast & Accurate Reconciliation | Auditing | Accounts Payable & Receivable | #ONO & Seeking New Opportunities,Accountant
576,Classroom Teacher special education at NYC DOE,Education Teacher
577,Application Developer at Federated Hermes,Application Developer
578,Instructional aide at Norwood Public Schools,Instructional Aide
580,"Combat Systems Port Engineer at T-Solutions, Inc",Combat Engineer
581,Electrical Engineer at Naval Undersea Warfare Center Division Keyport,Division Engineer
582,Producer at KTWU Public Television - Washburn University,Television Producer (TV Producer)
583,A/V Project Manager at VECA Electric & Technologies,Project Manager (PM)
586,Associate Product Manager,Product Manager
588,Teller at Wells Fargo,Teller
589,Paralegal AAS Degree June 2010 Rasmussen College,Paralegal
592,Sales,Advertising Sales Manager (Ad Sales Manager)
593,Full Professor at Willamette University,University Professor
598,Outreach Director at Angel Flight Central,Director
599,Instrumentation technician,Aerospace Engineering and Operations Technologists and Technicians - Instrumentation Technician
600,Director of Project Management and Broker Services.,Project Director
607,Sales Director | Brand Strategy | Revenue Operations,Sales Director
609,Accounts Payable Specialist,Accounts Payable Specialist
610,Flight Software Engineer,Software Engineer
611,Project/Program Manager | Manufacturing | Supply Chain Immersion Program (SCIP) @ Dell Technologies,Manufacturing Project Manager
612,"Creative, confident, multi-faceted designer: Arch/Ent lighting controls specialist. Theatrical/Production/Event design.",Controls Designer
613,Sourcing Project Manager,Sourcing Manager
615,South West Sales Manager - Xaloy,Sales Manager
617,DRE#02154295 Licensed Real Estate Agent at eXp Realty and loving it! I just love helping people make their dreams come true.,Licensed Real Estate Agent
621,"Field Supervisor at Sparkle Services, Inc.",Supervisor
623,Online Teacher | UX UI Designer | Digital Artist | Photographer,Digital Photographer
624,Certified Clinical Medical Assistant,Clinical Medical Assistant
627,"Director of Finance at United Artists Releasing, MBA, CPA",Finance Director
628,Retired Inspector at Alameda County District Attorney's Office,Attorney
629,CAD Technician / Architectural,Architectural Computer-Aided Design Technician (Architectural CAD Technician)
631,"Software Developer - Ghost Software Team at 76th Software Engineering Group, Tinker AFB",Software Developer
632,Salesforce Administrator,Administrator
634,Strategic Communications I Brand Manager I Content Developer I Relationship Builder,Relationship Manager
635,"Administrative Assistant at Terra Tec Landscapes, Inc.",Tax Administrative Assistant
636,"Regional Operations Manager | Diversity, Equity, & Inclusion",Regional Manager
638,Health Careers Program Assistant at UConn Health Center,Health Assistant
640,"Executive Director, Financial Advisor at Morgan Stanley",Executive Director
641,Signal Processing Engineer,DSP Engineer (Digital Signal Processing Engineer)
643,"Certified Public Accountant at Long, Cook & Samsa, Inc.",Accountant
644,Behavioral Health,Behavioral Health Specialist
646,Firefighter/EMT for Hastings Fire and Rescue,Firefighter
648,Sr. Robotics Engineer at Danfoss Power Solutions,Robotics Engineer
649,Case Manager at Providence St Joseph Hospital,Hospital Manager
650,Operations manager,General and Operations Managers - Building Manager
653,"Harlem Globetrotter, Motivational Speaker, Ambassador of Goodwill & A Mental Health Advocate. CEO of Everyday Is GrindSeason LLC",Health Advocate
655,Video Producer/Editor,Video Producer
656,Violinist,Violinist
657,Superintendent of Schools at Bedford School District,School Superintendent
658,Network Management,Network Management Specialist
659,"President at Golden Automation, LLC",President
660,Accountant at The HSC Foundation,Accountant
661,Audio Production Specialist,AV Production Specialist (Audio Visual Production Specialist)
664,"Vice President, Digital Access at Sutter Health",President
665,Senior Worksite Systems Project Manager at AFBA/5Star Life,Project Manager (PM)
667,Product Security Manager,Product Manager
668,Starship Structures Technician at SpaceX,Structures Technician
669,Business Development Professional,Business Professional
671,"Administrative Director IT, AdventHealth",Administrative Director
672,Technical Sales Engineer at the KMM Group,Technical Engineer
674,Customer Service Representative,Application Customer Service Representative
676,Construction Engineer Supervisor,Supervisor
677,VIP Taxi Driver,Taxi Driver
678,"President, Compsort & Services, Inc",President
679,Financial Aid Advisor at Weatherford College,Advisor
681,"Operations Management & Supply Chain Professional, Leader, Writer, Mentor, Board of Education Trustee",Board Writer
683,Attorney at U.S. Department of Education,Attorney
684,Confidence Coach for Women and Teenagers,Coach
685,Plumber at New York Plumbing & Heating,Plumber
687,"Food & Beverage Manager at Wawa, Inc.",Food and Beverage Manager
688,Team Leader,Logistics Team Leader
691,Graduate Clinician in Speech Language Pathology at University of Northern Colorado,Speech Clinician
692,Account Executive at Estée Lauder Cosmetics,Account Executive
695,Medical Assistant,Biological Technicians - Medical Lab Assistant
696,VISUAL STORYTELLER | Producer - Director | Founder & CEO Latin Entertainment Media Group,Media Director
697,Software Engineer at Booz Allen Hamilton,Software Engineer
700,Commercial Real Estate Banker,Commercial Banker
701,Mental Health Therapist,Licensed Mental Health Therapist
704,Inventory & Replenishment Manager - N.B. Handy Company Real Estate Investor - Next Chapter Homes,Real Estate Manager
705,"Senior Vice President, Senior Consultant",President
706,"Clinical Director, Consultant, Mental Health Advocate, LMFT",Clinical Director
707,Computer Hardware,Computer Hardware Technician
709,Software Engineer at General Dynamics Land Systems,Software Engineer
710,Customer Success Specialist Engineer at VMware,Customer Engineer
712,College student looking for an office/call center/receptionist employment,Receptionist
713,"Commercial Pilot, CFI, CFII",Commercial Pilot
717,FPGA Engineer,Field Programmable Gate Array Verification Engineer (FPGA Verification Engineer)
719,Realtor,Real Estate Brokers - Realtor
722,Partner Account Executive,Account Executive
724,Digital Transformation | P&C Insurance | Project Implementation | Lead Business Analyst | Project Manager | Origami | Guidewire | Duckcreek | Majesco,Digital Project Manager
726,Infectious disease epidemiologist specializing in zoonoses of domestic animals in Egypt,Epidemiologist
727,"President / CEO Professional Maintenance of Florida, LLC",President
728,Controls supervisor fuels & lubricants at ExxonMobil,Supervisor
729,LPN,Clinic Licensed Practical Nurse (Clinic LPN)
732,Social Media Strategist and Community Manager (African-American/Black) at AARP,Social Media Strategist
734,Registered Dental Hygienist/Clinical coach and educator,Clinical Educator
735,"Executive Officer| Career, Executive, & Leadership Coach| Mentor|Lawyer",Executive Officer
737,Admissions Counselor at Southern Virginia University,University Counselor
738,"Experienced Branch Operations Manager at Siemens Industry, Inc. w/ a passion for Leadership & Team Development",Gas Operations Manager
739,Creator & Digital Marketer,Marketer
740,Research Assistant at Barrow Neurological Institute,Research Assistant (RA)
741,Entertainment Cast Member at the Disneyland Resort,Cast Member
742,Emergency Department Registered Nurse,Emergency Department RN (Emergency Department Registered Nurse)
743,Scheduling Coordinator,"Meeting, Convention, and Event Planners - Scheduling Coordinator"
744,Senior Account Executive at Zillow Group,Account Executive
746,--Mr.,"Special Education Teachers, Middle School - MR Teacher (Mentally Retarded Teacher)"
749,Research Assistant Professor at University of North Carolina at Chapel Hill,University Professor
755,"Chief Sales Engineer at Plasti-Fab, Inc. Retired",Chief
757,Executive Vice President Of Business Development,Business Executive
760,Technical Project Manager at Lineage Logistics,Logistics Manager
761,IT Support Engineer I,IT Support Engineer (Information Technology Support Engineer)
762,"Registered Nurse at UCSD Health, Scripps Health and Maxim Healthcare Services",Registered Health Nurse
764,Management,Product Management Director
765,Process Engineer,Bioengineers and Biomedical Engineers - Process Development Engineer
767,Human Services,Human Services Manager
768,Principal Relationship Manager at Microsoft,Relationship Manager
769,Director at Guidehouse (formerly Navigant),Director
771,"Photograph Conservator at the National Gallery of Art, Washington, D.C.",Art Conservator
772,Imaging Specialist at Gannett,Imaging Specialist
776,Pharmacy Resident,Pharmacy Resident
