position_idx,position,match_title
758,"Afro-Latino Leader in Tech, Breaker of Silos, Builder of Community",Builder
760,Senior IT Generalist and Digital Transformation Evangelist.,Evangelist
762,Software Engineer at Savannah River Nuclear Solutions,Software Engineer
765,Healthcare Administrator LNHA,Administrator
767,Principle Solutions Architect - Platform Adoption at Lumen Technologies,Platform Architect
769,Math Teacher at Aldine ISD,Math Teacher
771,French Speaking Client Success Associate at Gartner,Client Associate
772,General Manager at Chill Chill Tours,General Manager (GM)
773,Corporate Account Manager at Ecolab,Corporate Manager
775,Software Developer,Commercial Drone Software Developer
777,Brand Ambassador at Samsung Electronics America,Brand Ambassador
782,Adult Nurse Practitioner,Adult Psychiatric Mental Health Nurse Practitioner
783,Vendor Relations Manager,Vendor Manager
785,Account Executive | Podium,Account Executive
786,"Sales representative & manager - Birch, Inc.",Sales Manager
788,High School Health Teacher,High School Teacher
791,M&A Associate,Mergers and Acquisitions Associate (M and A Associate)
792,Executive Administrative Assistant,Executive Secretaries and Executive Administrative Assistants - Administrative Assistant
794,Plant Controller at Owens Brockway Glass Container,Plant Controller
795,Global Commodity Manager at General Motors,Commodity Manager
798,"Agent/Broker at Scarafoni Financial Group, LLC / ST Insurance Agency",Financial Agent
800,Retired Chief of Police at Whiteville Police Department,Chief
802,Project Manager,Facilities Project Manager
803,"Realtor Associate at Casabella Miami Realty, Inc.",Realtor Associate
805,Admissions Specialist at University of Hawaii at Manoa,Admissions Specialist
806,Client Development Manager @ Infinity Group | Business Development,Group Manager
808,Legal Assistant at Windhaven Insurance,Legal Assistant
809,customer advocate at Verizon Wireless (Worldwide Wireless),Customer Advocate
813,Senior Vice President - Senior Financial Planner,President
815,Front end Developer at TMR Audio,C Developer
817,Demonstrator at Cds,Demonstrator
821,Real Estate Consultant,Appraisers and Assessors of Real Estate - Valuation Consultant
823,Accountant-Technical Specialist at Cardington Yutaka Technologies,Accountant
825,"Team Leader, Problem Solver, Quality, High Tech Mfg, Leading Process Improvements, Exceptional Results",Team Leader
826,Self Employed at Freelance Translator,Freelance Translator
829,Founder & President at Summit Homes,President
830,Family Nurse Practitioner at Thomas Chittenden Health Center,Family Health Nurse Practitioner
831,Distribution Coordinator at NGL Energy Partners LP,Distribution Coordinator
834,Farrier at RH Shoeing,Farrier
835,Office Manager,General and Operations Managers - Office Manager
836,Loan Coordinator Manager at nbkc bank,Bank Manager
838,AV Accounts Payable Specialist at AMN Healthcare,Accounts Payable Specialist
839,Attorney at Law,Attorney
841,PhD Candidate | Spanish & Arabic instructor | Associate editor,Arabic Instructor
843,"Director, Quantitative and Population Science Divisions at Moffitt Cancer Center",Cancer Center Director
844,Full Stack Web Developer,Web Developers - Full Stack Developer
849,Senior Wealth Advisor,Wealth Advisor
850,Real Estate Agent at JBGoodwin REALTORS,Real Estate Agent
851,Regional Marketing Director at Youngevity,Regional Director
853,Senior Pastor at Center Grove Baptist Church,Church Pastor
